row_id,source_accession,event_id,competition_score,false_contact_risk_proxy,cluster_precision_proxy,selected,selected_rank,rejection_reason,compatibility_rejection_label,native_contact_count_after_scoring,native_long_range_contact_count_after_scoring,native_label_attached_after_selection,native_truth_used_before_selection,raw_sequence_exposed
coord_001_pdb_1MBN_A_myoglobin,1MBN:A,6afd8492e748e2cd,0.463513,0.527896,0.191948,False,0,overlap_rejection,overlapping,0,0,True,False,False
coord_001_pdb_1MBN_A_myoglobin,1MBN:A,f3b211e73fa7da9f,0.461993,0.525633,0.193505,False,0,overlap_rejection,overlapping,0,0,True,False,False
coord_001_pdb_1MBN_A_myoglobin,1MBN:A,b705bed77b019d2b,0.461145,0.534737,0.19058,False,0,overlap_rejection,overlapping,0,0,True,False,False
coord_001_pdb_1MBN_A_myoglobin,1MBN:A,5b2266716a018f6e,0.460093,0.522262,0.213993,False,0,overlap_rejection,overlapping,1,1,True,False,False
coord_001_pdb_1MBN_A_myoglobin,1MBN:A,0d517a819dcf0e6a,0.45987,0.457929,0.241928,False,0,overlap_rejection,overlapping,0,0,True,False,False
coord_001_pdb_1MBN_A_myoglobin,1MBN:A,bebd9733af51d23a,0.459741,0.521075,0.193762,False,0,overlap_rejection,overlapping,1,0,True,False,False
coord_001_pdb_1MBN_A_myoglobin,1MBN:A,a429d5ffb055f38b,0.457444,0.513278,0.239777,False,0,overlap_rejection,overlapping,9,9,True,False,False
coord_001_pdb_1MBN_A_myoglobin,1MBN:A,bc35bd3a78489e95,0.456808,0.538284,0.18903,False,0,overlap_rejection,overlapping,0,0,True,False,False
coord_001_pdb_1MBN_A_myoglobin,1MBN:A,00a4a8d549ad54fe,0.455788,0.527186,0.181439,False,0,overlap_rejection,overlapping,3,0,True,False,False
coord_001_pdb_1MBN_A_myoglobin,1MBN:A,02a155a37b5ec382,0.455374,0.524843,0.204982,False,0,overlap_rejection,overlapping,0,0,True,False,False
coord_001_pdb_1MBN_A_myoglobin,1MBN:A,4494520144c6faf4,0.455313,0.530192,0.201805,False,0,overlap_rejection,overlapping,0,0,True,False,False
coord_001_pdb_1MBN_A_myoglobin,1MBN:A,e28cd3a99eb5bf04,0.455102,0.53513,0.188988,False,0,overlap_rejection,overlapping,0,0,True,False,False
coord_001_pdb_1MBN_A_myoglobin,1MBN:A,501501c37e88e864,0.454916,0.532815,0.190644,False,0,overlap_rejection,overlapping,0,0,True,False,False
